zh,w,tu˧˥tɕiŋ˥˩,涂径
fi,r,kerriat,kerrɪat
fro,r,ĩkõsutil,ɛ̃kɔ̃sytil
de,r,weggeräumten,vɛkɡəʁɔɪmtn
tr,r,tahaffuz,tahaffʊz
ar,w,tˤabiːb,طَبِيْب
br,r,gorread,ɡoreat
tr,w,bœbørlænmɪʃsɪn,böbürlenmişsin
nl,w,vrɛɪhɛɪtsbərovɪŋ,vrijheidsberoving
tr,w,kɯzɯɫadʒaksɯn,kızılacaksın
ru,w,dvʊdənɨj,двудонный
ru,r,евроамериканец,jɪvrɐɐmɪrɪkənɪts
de,r,informierenden,ɪnfɔʁmiʁəndn
fro,w,akjesabl,akyésabl
ent,w,dironte,dironte
eno,w,kunkudronte,xixhuwlhsɡʒ
tr,w,ɪʃcændʒɛ,işkence
sh,w,introjektsija,introjekcija
ent,w,malvestote,malvestote
nl,w,kɔl,kol
br,r,kerioù,kerju
en,r,unfilled,ʌnfɪld
ent,w,interjektsio,interjektsio
br,w,azvɛrkã,azverkañ
it,w,lantsikenekko,lanzichenecco
es,w,inumanas,inhumanas
ent,w,feriantino,feriantino
ko,r,염색질,jʌ̹msʰek̚tɕ͈iɭ
ko,r,음성언어,ɯmsʰʌ̹ŋʌ̹nʌ̹
pt,w,ẽbukɐduɾɐ,embocadura
fro,r,supèrsãsibilizè,sypɛʁsɑ̃sibilizɛ
ar,r,جَوَابِرَة,dʒaʊaːbira
ko,w,heŋnaŋ,행랑
ko,r,조바심,tɕobaɕʰim
eno,w,dʒuonte,dbrvioʒ
sh,r,gestapovski,ɡestapoʋski
eo,w,lumvermo,lumvermo
ar,r,فَاجَأَ,faːdʒaʔa
eno,r,iʃʃʒʃkʃʒbovwe,fendetidʒonte
tr,w,kɔvmamɯʃɯm,kovmamışım
fro,w,ɑ̃tʁevɛjəʁe,ãtrévèyeré
zh,w,liɑŋ˨˩˦tɕyan˧˥,两全
ar,w,tuðabaħna,تُذَبَّحْنَ
zh,w,tɕiau˥˩,谯
ko,w,padat̚k͈a,바닷가
es,w,miso,miso
pt,r,metamorfosear,mɨtɐmuɾfuzjaɾ
fr,w,ʁeɛtnisizjɔ̃,réethnicisions
ent,w,abortiɡisto,abortiɡisto
en,w,tɛpəl,tepal
en,r,wey,weɪ
sh,r,riboprerađivački,ribopreradʑiʋatʃki
fi,r,pakottaminen,pakotːamɪnen
sh,w,podɡrijaʋati,podgrijavati
zh,w,kuaŋ˥˩,矿
ent,w,entuziasmulo,entuziasmulo
de,w,ɔɪʁopɛɪʃəʁə,europäischere
sh,w,ʃʋalerski,švalerski
fro,r,èksèlerè,ɛksɛləʁɛ
tr,w,rapɔrdʒʊ,raporcu
de,r,zugebend,tsuɡebnt
fr,r,griffent,ɡʁif
zh,w,kɤ˥˩,铬
nl,w,frɔɪdɪaːns,freudiaans
eo,r,desperi,desperi
zh,r,锄草,tʂu˧˥tsau˨˩˦
ar,r,سَبَتْنَ,sabatna
ko,r,그토록,kɯtʰoɾok̚
eo,r,bulgara,bulɡara
fi,r,ajoittuen,ajoitːuen
nl,r,goede,χudə
zh,w,xuan˨˩˦tuŋ˥˩,缓动
fr,w,mevɑ̃d,mévendent
fro,w,ʁəmaɲetiza,remanyétiza
pt,w,kɾuɛɫ,cruel
de,r,schuldigen,ʃʊldɪɡn
zh,w,lau˨˩˦y˥˩,老妪
zh,w,fa˥˥ma˧˥,发麻
